year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
2003,2003-04-21,4.0,Florida,FL,"Melbourne Beach, Brevard County ",Surfing,True,36.0,M,Right leg bitten,N,Unprovoked
2003,2003-05-03,5.0,Florida,FL,"Daytona Beach Shores, Volusia County",Walking,False,9.0,F,Laceration to right lower leg,N,Unprovoked
2003,2003-05-07,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,34.0,M,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,Provoked
2003,2003-05-10,5.0,Hawaii,HI,Between Magic Sands Beach and Kahaluu Beach on the Kona coast,Swimming,False,20.0,M,Right calf & heel bitten,N,Unprovoked
2003,2003-05-14,5.0,Florida,FL,"Ponce de Leon Inlet, Volusia County ",Wading,False,22.0,M,Left foot bitten,N,Unprovoked
2003,2003-05-25,5.0,Florida,FL,"Coral Cove Park, Jupiter Inlet, Palm Beach County",Surfing,True,18.0,M,Left foot lacerated,N,Unprovoked
2003,2003-06-08,6.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,15.0,,6 puncture wounds to left ankle,N,Unprovoked
2003,2003-06-19,6.0,North Carolina,NC,"Masonboro Island, New Hanover County",Surfing,True,33.0,M,Hand bitten ,N,Unprovoked
2003,2003-06-22,6.0,Johnston Atoll,,,Swimming,False,51.0,M,Left leg bitten,N,Unprovoked
2003,2003-06-24,6.0,Florida,FL,"Cocoa Beach, Brevard County",Standing,False,12.0,F,2 lacerations to the thigh,N,Unprovoked
2003,2003-06-24,6.0,Hawaii,HI,"Makua Beach, Oahu",Swimming with pod of dolphins,False,60.0,M,Right foot bitten,N,Unprovoked
2003,2003-06-26,6.0,Florida,FL,St Augustine Beach. St. Johns County,Surfing,True,15.0,M,Ankle lacerated,N,Unprovoked
2003,2003-06-30,6.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,M,Right foot & toes lacerated,N,Unprovoked
2003,2003-07-05,7.0,Florida,FL,"Canova Beach, Brevard County",Surfing,True,21.0,M,Left foot bitten,N,Unprovoked
2003,2003-07-05,7.0,Florida,FL,"Near New Smyrna Jetty, Volusia County","Walking, carrying surfboard & stepped on shark",True,10.0,M,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,Provoked
2003,2003-07-15,7.0,Florida,FL,"Daytona Beach, Volusia County",Wading,False,15.0,F,Heel & sole of left foot,N,Unprovoked
2003,2003-07-20,7.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Laceration to little finger of  right hand,N,Unprovoked
2003,2003-08-12,8.0,California,CA,"Venice Beach, Los Angeles County",Swimming,False,31.0,M,Left ankle lacerated,N,Invalid
2003,2003-08-19,8.0,California,CA,"Avila Beach, San Luis Obispo County","Swimming, wearing black wetsuit & swim fins",False,50.0,F,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,Unprovoked
