year,date,month,state,state_abbrev,location,activity,surf_related,age,sex,injury,fatal,attack_type
2008,2008-04-26,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,21.0,M,Puncture wounds to right foot                  PROVOKED INCIDENT,N,Provoked
2008,2008-04-27,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,24.0,M,Calf bitten,N,Unprovoked
2008,2008-04-28,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,3-inch laceration to dorsal surface of left foot,N,Unprovoked
2008,2008-05-07,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,6.0,M,2 inch laceration to left lower calf.,N,Unprovoked
2008,2008-05-26,5.0,North Carolina,NC,"Hammocks Beach State Park, Bear Island, Onslow County",Surfing,True,9.0,M,Biceps & lower arm bitten,N,Unprovoked
2008,2008-06-01,6.0,South Carolina,SC,Cherry Grove,Body surfing,True,15.0,F,Foot bitten,N,Unprovoked
2008,2008-06-07,6.0,Florida,FL,"Cocoa Beach, Brevard  County",Body surfing,True,40.0,M,Lacerations & abrasions to right hand,N,Unprovoked
2008,2008-06-20,6.0,Florida,FL,"Fernandina Beach, Nassau County",Wading,False,35.0,F,Lacerations to lower right calf,N,Unprovoked
2008,2008-06-21,6.0,California,CA,"West Cove, Catalina Island",Kayaking,False,40.0,F," No injury. Shark bumped kayak, flinging her into the  water. ",N,Unprovoked
2008,2008-06-26,6.0,South Carolina,SC,"Isle of Palms, Charleston County",Swimming,False,37.0,M,Lacerations to hand,N,Unprovoked
2008,2008-06-26,6.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,29.0,M,Minor laceration to foot,N,Unprovoked
2008,2008-06-28,6.0,Hawaii,HI,"Kamilo Point, Hawai'i",Wading,False,53.0,M,Probable drowning with post-mortem bites,Y,Invalid
2008,2008-07-05,7.0,South Carolina,SC,"Litchfield Beach, Georgetown County",,False,17.0,F,Lacerations to right foot,N,Unprovoked
2008,2008-07-09,7.0,North Carolina,NC,"Emerald Isle, Carteret County",Swimming,False,14.0,F,Lacerations to  right foot,N,Unprovoked
2008,2008-07-11,7.0,South Carolina,SC,"Isle of Palms, Charleston County",Surfing,True,24.0,M,Laceration to foream,N,Unprovoked
2008,2008-07-13,7.0,North Carolina,NC,"Carolina Beach, New Hanover County",Body surfing,True,52.0,M,"Bruises, abrasions and some spinal and nerve damage when collided with marine animal, possibly a shark or dolphin.",N,Invalid
2008,2008-07-19,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,16.0,M,Lacerations to lower left leg,N,Unprovoked
2008,2008-07-23,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,15.0,M,Foot bitten after he stepped on the shark PROVOKED INCIDENT,N,Provoked
2008,2008-07-24,7.0,North Carolina,NC,"Surf City, Topsail Island, Pender County",Wading,False,9.0,M,Minor lacerations to  toe,N,Unprovoked
2008,2008-07-24,7.0,North Carolina,NC,"Topsail Island, Pender County",Wading,False,8.0,F,Lacerations to dorsum of right foot ,N,Unprovoked
2008,2008-07-25,7.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,M,Right foot bitten,N,Unprovoked
2008,2008-07-25,7.0,Hawaii,HI,"Lahilahi Point, Oahu",Snorkeling,False,44.0,F,Forearm bitten ,N,Unprovoked
2008,2008-07-26,7.0,Hawaii,HI,"Honokowai, Maui",Swimming,False,,M,Minor injury,N,Unprovoked
2008,2008-08-11,8.0,Hawaii,HI,"Ala Moana Beach Park, Oah'u",Diving,False,,M,"No injury, shark grabbed his bag of fish",N,Unprovoked
2008,2008-08-12,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,13.0,F,Puncture wounds & 3-inch laceration to right calf,N,Unprovoked
2008,2008-08-16,8.0,US Virgin Islands,,Buck Island,Treading water,False,38.0,F,Severe lacerations to left foot,N,Unprovoked
2008,2008-08-18,8.0,South Carolina,SC,"North Myrtle Beach, Horry County",,False,7.0,M,Minor injuries,N,Invalid
2008,2008-08-20,8.0,Florida,FL,"Sanibel Island, Lee County",Swimming,False,47.0,M,3 lacerations to forearm,N,Unprovoked
2008,2008-08-24,8.0,North Carolina,NC,"Surf City, Topsail Island, Pender County",Surfing,True,20.0,F,Calf bitten,N,Invalid
2008,2008-08-24,8.0,Florida,FL,"New Smyrna Beach, Volusia County","Swimming, towing surfboard",True,20.0,M,Minor injury to left foot,N,Unprovoked
2008,2008-08-27,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,26.0,M,Lacerations to lower left leg,N,Unprovoked
2008,2008-08-28,8.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,19.0,M,Superfical cut to left ankle,N,Unprovoked
2008,2008-08-30,8.0,Hawaii,HI,"McKenzie Beach Park in Pahoa, Hawai'i ",Swimming,False,27.0,M,Death was probably due to drowning,Y,Invalid
2008,2008-09-01,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,52.0,M,Shark bumped right ankle,N,Unprovoked
2008,2008-09-06,9.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,True,43.0,M,Minor injury to foot,N,Unprovoked
2008,2008-09-06,9.0,Florida,FL,"Ponce Inlet, New Smyrna Beach, Volusia County",Surfing,True,15.0,M,Minor injury to foot,N,Unprovoked
2008,2008-09-08,9.0,California,CA,"Surf Beach, Lompoc, Santa Barbara County",Surfing,True,,M,"No injury to surfer, board bitten",N,Unprovoked
2008,2008-09-09,9.0,Hawaii,HI,"Ka'a'awa, Oahu",Surfing,True,40.0,M,Bitten on right thigh & calf,N,Unprovoked
2008,2008-09-14,9.0,Florida,FL,"Ormond-by-the-Sea, Volusia County",Swimming,False,32.0,M,Lacerations to foot,N,Unprovoked
2008,2008-09-28,9.0,Florida,FL,Bethune Beach,Surfing,True,40.0,M,Right foot bitten,N,Unprovoked
2008,2008-09-28,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,44.0,M,Small puncture wounds to the heel of left foot,N,Unprovoked
2008,2008-10-08,10.0,Florida,FL,"Santa Rosa Beach, Walton County",Fishing,False,11.0,M,Lacerations,N,Unprovoked
2008,2008-12-20,12.0,California,CA,"Dillon Beach, Marin County",Kayaking,False,,M,"No injury, shark struck paddle",N,Unprovoked
2009,2009-02-08,2.0,Puerto Rico,PR,Quebradillas,Air Disaster,False,,M,It is probable that all 5 passengers died on impact. The body of one was scavenged by a shark,Y,Sea Disaster
2009,2009-03-17,3.0,Hawaii,HI,Alenuihaha Channel,Swimming,False,61.0,M,"Minor injury, bite chest and left calf",N,Unprovoked
2009,2009-03-18,3.0,Florida,FL,"Ponce Inlet, Volusia County",Surfing,True,17.0,F,Minor bite to ankle,N,Unprovoked
2009,2009-04-03,4.0,Florida,FL,"Sanibel Island, Lee County",Wading,False,15.0,M,Lacerations to right foot and ankle,N,Unprovoked
2009,2009-04-06,4.0,California,CA,San Diego County,Spearfishing,False,,M,Shark struck him but the diver was not injured,N,Unprovoked
2009,2009-04-11,4.0,Hawaii,HI,Kona,Spearfishing,False,49.0,M,Missing,N,Invalid
2009,2009-04-17,4.0,Florida,FL,"Walton Rocks, St Lucie County",Surfing,True,31.0,M,Laceration to forearm,N,Unprovoked
2009,2009-04-19,4.0,Florida,FL,"Carlin Park, Jupiter Inlet",Surfing,True,52.0,M,Left foot bitten,N,Unprovoked
2009,2009-04-21,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,20.0,M,3 puncture wounds to posterior right ankle,N,Unprovoked
2009,2009-04-28,4.0,Florida,FL,"St. Augustine, St. John's County",,False,,F,Multiple lacerations to right foot & ankle,N,Unprovoked
2009,2009-05-16,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,55.0,M,Lacerations to right hand,N,Unprovoked
2009,2009-05-16,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,49.0,M,Lacerations to right foot,N,Unprovoked
2009,2009-05-17,5.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,31.0,M,Lacerations to left leg & foot,N,Unprovoked
2009,2009-05-25,5.0,Florida,FL,"Clearwater Beach, Pinellas County",Swimming,False,,M,Right foot bitten,N,Provoked
2009,2009-06-16,6.0,Florida,FL,"Melbourne Beach, Brevard County",Crawling,False,14.0,M,2-inch laceration to upper left arm,N,Invalid
2009,2009-06-21,6.0,California,CA,"Shell Beach, San Luis Obispo County",Surfing,True,26.0,M,Puncture wounds to foot,N,Invalid
2009,2009-07-04,7.0,Florida,FL,"Biscayne National Park, Miami",Swimming,False,43.0,F,Thigh injured by hooked shark PROVOKED INCIDENT,N,Provoked
2009,2009-07-05,7.0,Florida,FL,"Daytona Beach, Volusia County",Boogie Boarding,True,12.0,F,Right ankle bitten,N,Unprovoked
2009,2009-07-11,7.0,California,CA,"San Onofre, San Diego County ",Paddle-surfing,True,,M,"No injury, shark collided with surfer & board",N,Unprovoked
2009,2009-07-22,7.0,Florida,FL,"Intracoastal Waterway,      St. Petersburg",Swimming,False,19.0,F,Laceration to lower right leg,N,Unprovoked
2009,2009-07-22,7.0,North Carolina,NC,Holden Beach. Brunswick County,Swimming,False,26.0,F,Laceration to left foot,N,Unprovoked
2009,2009-07-24,7.0,Texas,TX,South Padre Island,Wading,False,14.0,F,Lacerations to anterior left lower leg,N,Unprovoked
2009,2009-08-01,8.0,Louisiana,LA,"Curlew Island, Breton Sound",Wade Fishing,False,56.0,M,Right ankle & foot bitten,N,Unprovoked
2009,2009-08-06,8.0,Hawaii,HI,Kawa'a ,Surfing,True,,M,"No injury, surfboard bitten",N,Unprovoked
2009,2009-08-10,8.0,Florida,FL,"Ponce, Volusia County",Swimming,False,26.0,M,Puncture marks on left foot,N,Unprovoked
2009,2009-08-25,8.0,California,CA,"Terramar Beach, Carlsbad, San Diego County",Swimming,False,22.0,F,Puncture wounds to left foot & calf,N,Unprovoked
2009,2009-08-30,8.0,California,CA,"Huntington Beach, Orange County",Surfing,True,,M,No injury,N,Unprovoked
2009,2009-09-12,9.0,North Carolina,NC,"Corolla, Currituck County",Swimming,False,60.0,M,FATAL,Y,Invalid
2009,2009-09-26,9.0,Florida,FL,"Key Colony Beach, Monroe County",Swimming,False,,M,Laceration to right foot,N,Unprovoked
2009,2009-10-09,10.0,California,CA,"San Onofre State Beach, San Diego County",Surfing,True,,M,Laceration to shin of left leg,N,Unprovoked
2009,2009-10-19,10.0,Hawaii,HI,"Kalama Park, Maui",Surfing,True,54.0,M,Bitten on upper right thigh & right ankle,N,Unprovoked
2009,2009-10-24,10.0,California,CA,"San Onofre, San Diego County ",Surfing,True,,M,"3 puncture wounds to big toe of left foot, and laceration on arch of foot",N,Unprovoked
2009,2009-11-05,11.0,California,CA,"Davenport, Santa Cruz County",Surfing,True,21.0,M,"No injury, board broken in half",N,Unprovoked
2009,2009-11-11,11.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,18.0,M,Foot bitten,N,Unprovoked
2009,2009-11-13,11.0,Florida,FL,"Jupiter, Palm Beach County",Surfing,True,27.0,F,Foot bitten,N,Unprovoked
2009,2009-11-16,11.0,California,CA,"Loch Lomond, Marin County",Fishing,False,31.0,M,Puncture wounds and minor lacerations to dorsal surface of his left hand,N,Unprovoked
2009,2009-11-16,11.0,Florida,FL,"Jupiter, Palm Beach County",Surfing,True,22.0,M,Foot bitten,N,Unprovoked
2009,2009-11-24,11.0,Florida,FL,"Lori Wilson Park, Cocoa Beach, Brevard County",Wading,False,10.0,M,Left foot bitten,N,Unprovoked
2009,2009-11-25,11.0,California,CA,"Huntington Beach, Orange County",Surfing,True,49.0,M,Puncture wounds to right foot,N,Invalid
2009,2009-12-05,12.0,New Jersey,NJ,"Adventure Aquarium, Camden",Diving,False,58.0,M,Lacerations & puncture wounds to right calf & ankle when diver accidentally backed into the shark  PROVOKED INCIDENT,N,Provoked
2010,2010-01-06,1.0,Florida,FL,Elliot Key,Spearfishing,False,32.0,M,Lacerations to  arm,N,Unprovoked
2010,2010-02-03,2.0,Florida,FL,"Stuart, Martin County",Kite Boarding,False,38.0,M,FATAL,Y,Unprovoked
2010,2010-02-06,2.0,Florida,FL,Riviera Beach,Surf fishing / wading,False,,M,Leg bitten while trying to free a hooked shark PROVOKED INCIDENT,N,Provoked
2010,2010-04-19,4.0,Hawaii,HI,"Hanalei Bay, Kauai",Surfing,True,68.0,M,"No injury, surfboard bitten",N,Unprovoked
2010,2010-04-28,4.0,Florida,FL,Hanalei Bay,Measuring sharks,False,29.0,M,Arm bitten PROVOKED INCIDENT ,N,Provoked
2010,2010-05-01,5.0,Florida,FL,New Smyrna Beach,Wading,False,10.0,F,Minor puncture wounds to right ankle,N,Unprovoked
2010,2010-05-30,5.0,Florida,FL,Off Tarpon Springs,Fishing,False,49.0,M,Laceration to left calf by hooked shark PROVOKED INCIDENT,N,Provoked
2010,2010-06-10,6.0,Florida,FL,Jacksonville,Boogie Boarding,True,18.0,F,Lacerations to left calf and foot,N,Unprovoked
2010,2010-06-25,6.0,North Carolina,NC,"Topsail Island, Pender County",Swimming,False,13.0,F,Laceration to left foot,N,Unprovoked
2010,2010-06-25,6.0,South Carolina,SC,Fripp Island,Boogie Boarding,True,6.0,F,Laceration to leg,N,Unprovoked
2010,2010-06-27,6.0,Texas,TX,"Eight Mile Beach, Galveston",Surfing,True,20.0,M,Lacerations to right foot,N,Unprovoked
2010,2010-07-02,7.0,California,CA,"Dog Patch, San Onofre",Stand-Up Paddleboarding,False,48.0,M,"No injury, board bumped by shark",N,Unprovoked
2010,2010-07-02,7.0,California,CA,"Pismo Beach, San Luis  Obispo County",Surfing,True,19.0,M,Laceration to left foot,N,Unprovoked
2010,2010-07-03,7.0,New York,NY,Off Long Island,Fishing,False,20.0,M,Laceration to right bicep by hooked shark PROVOKED INCIDENT,N,Provoked
2010,2010-07-11,7.0,Florida,FL,"Lauderdale-by-the-Sea, Broward County",Fishing,False,,M,Small laceration to forearm from netted shark  PROVOKED INCIDENT,N,Provoked
2010,2010-07-16,7.0,Texas,TX,Galveston,Fishing,False,,M,Leg bitten,N,Unprovoked
2010,2010-07-17,7.0,Florida,FL,New Smyrna Beach,Surfing,True,55.0,M,Minor lacerations to right foot,N,Unprovoked
2010,2010-07-17,7.0,North Carolina,NC,"Wrightsville Beach, New Hanover County",Swimming,False,13.0,F,Lacerations to right forearm,N,Unprovoked
2010,2010-07-19,7.0,South Carolina,SC,Myrtle Beach,Swimming,False,10.0,M,Minor lacerations to left calf,N,Unprovoked
2010,2010-07-23,7.0,Florida,FL,"Jacksonville Beach, Duval County",Surfing,True,20.0,M,Left foot bitten,N,Unprovoked
2010,2010-07-25,7.0,South Carolina,SC,"Isle of Palms, Charleston County",Standing,False,16.0,M,Lacerations to right lower leg,N,Unprovoked
2010,2010-08-02,8.0,Florida,FL,"Micklers Landing, St. Johns County",Standing,False,37.0,F,Lacerations to forearm,N,Unprovoked
2010,2010-08-02,8.0,California,CA,"Near oil rig Hondo, 5 nm from Gaviota, Santa Barbara County",Kayaking,False,,M,"No injury, kayak bitten",N,Unprovoked
2010,2010-08-05,8.0,Florida,FL,"Bethune Beach, Volusia County",Swimming,False,,F,Minor abrasions to legs when she was lifted on the back of a large marine animal,N,Invalid
2010,2010-08-07,8.0,North Carolina,NC,"Figure Eight Island, Wilmington, New Hanover County",Surfing,True,25.0,M,Left foot bitten,N,Unprovoked
2010,2010-08-14,8.0,California,CA,"Pigeon Point, San Mateo County",Kayak Fishing,False,45.0,M,"No injury, kayak bitten",N,Unprovoked
2010,2010-08-18,8.0,Florida,FL,Crescent Beach St. Johns County,Boogie Boarding,True,10.0,M,Minor injuries to foot,N,Unprovoked
2010,2010-09-03,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,24.0,M,Left thigh bitten,N,Unprovoked
2010,2010-09-03,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,24.0,M,Lacerations to right  hand ,N,Unprovoked
2010,2010-09-04,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,,M,"No injury, shark charged surfboard",N,Unprovoked
2010,2010-09-07,9.0,Florida,FL,"St. Augustine, St. John's County",Swimming,False,27.0,M,Lacerations to left wrist,N,Unprovoked
2010,2010-09-24,9.0,Virginia,VA,Sandridge Beach,Surfing,True,18.0,M,Bite to left ankle and knee,N,Unprovoked
2010,2010-09-27,9.0,Oregon,OR,Winchester Bay,Surfing,True,29.0,M,"No injury, surfboard rammed",N,Unprovoked
2010,2010-10-22,10.0,California,CA,"Surf Beach, Vandenberg AFB, Santa Barbara County",Body boarding,True,19.0,M,FATAL,Y,Unprovoked
2010,2010-10-23,10.0,Maine,ME,"Burnt Cove near Eastport, Washington County",Scuba diving,False,30.0,M,"No injury to diver, shark bit his video camera",N,Unprovoked
2010,2010-10-28,10.0,Oregon,OR,Florence,Surfing,True,,M,No injury to surfer,N,Unprovoked
2010,2010-11-19,11.0,Palmyra Atoll,,,Snorkeling,False,33.0,M,Head bitten by netted shark PROVOKED INCIDENT,N,Provoked
2010,2010-12-11,12.0,Hawaii,HI,"Tavares Bay, Maui",Surfing,True,46.0,M,Lacerations to right foot,N,Unprovoked
2010,2010-12-26,12.0,Hawaii,HI," Kahului, Maui",Body boarding,True,16.0,M,"Lacerations to his lower left leg, calf, foot & ankle",N,Unprovoked
2011,2011-04-22,4.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,49.0,M,Minor puncture wounds,N,Unprovoked
2011,2011-04-26,4.0,Florida,FL,"Riviera Beach, Palm Beach County",Spearfishing,False,32.0,M,Calf bitten,N,Unprovoked
2011,2011-05-10,5.0,Florida,FL,Miami,Fishing,False,,M,Laceration to arm by captive shark PROVOKED INCIDENT,N,Provoked
2011,2011-05-13,5.0,Florida,FL,"Ormond Beach, Volusia County",Surfing,True,37.0,M,Minor injury; puncture wounds to calf,N,Unprovoked
2011,2011-05-13,5.0,Florida,FL,"Ponte Vedra Beach, St Johns County",Body surfing,True,86.0,M,Lacerations to left foot & ankle,N,Unprovoked
2011,2011-05-22,5.0,Hawaii,HI,"Lyman Beach, Kailua-Kona",Paddle boarding,False,,F,"No injury, board bitten",N,Unprovoked
2011,2011-05-25,5.0,Hawaii,HI,"Lyman Beach, Kailua-Kona",Surfing,True,,F,"No injury, board bitten",N,Unprovoked
2011,2011-05-30,5.0,Texas,TX,"Follett's Island, Brazoria County",Standing or boogie boardin,True,22.0,F,Lacerations & punctures to right thigh ,N,Unprovoked
2011,2011-06-06,6.0,California,CA,"La Jolla, San Diego County",Spearfishing,False,28.0,M,"No injury, minor damage to wetsuit",N,Unprovoked
2011,2011-06-06,6.0,Florida,FL,"New Smyrna Beach, Volusia County",Wading,False,19.0,M,Puncture wound to calf,N,Unprovoked
2011,2011-06-12,6.0,Florida,FL,"Off Jupiter Inlet, Palm Beach County",Scuba diving,False,28.0,M,Lacerations to right calf,N,Unprovoked
2011,2011-06-21,6.0,Florida,FL,"Perdido Key, Escambia County",Jet skiing,False,20.0,M,Lacerations to foot and ankle,N,Unprovoked
2011,2011-06-24,6.0,California,CA,"San Onofre State Beach, San Diego County",Surfing,True,,M,Shark leapt onto surfboard; surfer uninjured ,N,Unprovoked
2011,2011-06-26,6.0,North Carolina,NC,"North Topsail Beach, Onslow County",Playing in the surf,True,10.0,F,Ankle bitten,N,Unprovoked
2011,2011-07-07,7.0,Texas,TX,"Mustang Island, Nueces County",Wade Fishing,False,14.0,M,Lacerations to right foot,N,Unprovoked
2011,2011-07-07,7.0,Texas,TX,"Sunday Beach, Matagorda Island, Calhoun  County",Swimming,False,12.0,M,Foot bitten,N,Unprovoked
2011,2011-07-13,7.0,Texas,TX,"South Padre Island, Cameron County",Surf fishing,False,,M,Lacerations to left foot,N,Unprovoked
2011,2011-07-19,7.0,North Carolina,NC,"Ocracoke Island, Hyde County",Boogie Boarding,True,6.0,F,Lower right leg & foot bitten,N,Unprovoked
2011,2011-07-25,7.0,New Jersey,NJ,"Egg Harbor, Atlantic County",Wade Fishing,False,,M,"No injury, shark bit boot",N,Unprovoked
2011,2011-08-11,8.0,North Carolina,NC,Beaufort Inlet,Swimming,False,54.0,M,Lower right leg bitten,N,Unprovoked
2011,2011-08-15,8.0,South Carolina,SC,"Myrtle Beach, Horry County",Playing in the surf,True,7.0,M,Puncture wounds to foot,N,Invalid
2011,2011-08-16,8.0,Puerto Rico,PR, Vieques,Floating,False,27.0,M,Lacerations to  lower right leg and foot,N,Unprovoked
2011,2011-08-17,8.0,North Carolina,NC,"Wrightsville Beach, New Hanover County",,False,12.0,M,Abrasions to left hand,N,Invalid
2011,2011-08-17,8.0,North Carolina,NC,"Kure Beach, New Hanover County",Wading,False,20.0,F,Lacerations to foot,N,Unprovoked
2011,2011-08-24,8.0,North Carolina,NC,Holden Beach. Brunswick County,,False,10.0,M,Heel bitten,N,Unprovoked
2011,2011-08-24,8.0,North Carolina,NC,"Buxton Beach, Dare County",Surfing,True,21.0,M,Lacerations to foot,N,Unprovoked
2011,2011-08-28,8.0,Texas,TX,"Grass Island, Aransas County",Wade Fishing,False,39.0,F,"Lacerations to anterior left shin, abrasion to posteior right leg",N,Unprovoked
2011,2011-08-31,8.0,Florida,FL,Crescent Beach St. Johns County,Surfing,True,19.0,M,Lacerations to lower leg,N,Unprovoked
2011,2011-09-02,9.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,19.0,M,Lacerations to ankle & foot,N,Unprovoked
2011,2011-09-04,9.0,Hawaii,HI,"Nimitz State Beach, Oahu",Surfing,True,,,"No injury, shark bit surfboard",N,Unprovoked
2011,2011-09-11,9.0,California,CA,"Samoa Beach, Humboldt County",Surfing,True,37.0,M,"No injury, board bitten",N,Unprovoked
2011,2011-09-16,9.0,Florida,FL,New Smyrna Beach,Surfing,True,25.0,M,Lacerations to arm,N,Unprovoked
2011,2011-09-20,9.0,Hawaii,HI,Kauai,Canoeing,False,,M,"No injury, canoe bitten by shark",N,Boat
2011,2011-09-24,9.0,South Carolina,SC,"North Myrtle Beach, Horry County",Jumping in the waves,False,5.0,M,Laceration to left thigh,N,Unprovoked
2011,2011-09-24,9.0,Florida,FL,"Santa Maria Island, Manatee County",Spearfishing,False,21.0,M,Laceration to left thigh,N,Unprovoked
2011,2011-09-30,9.0,Puerto Rico,PR,Hatillo Beach,Surfing,True,27.0,M,Lacerations to lower right leg ,N,Invalid
2011,2011-10-01,10.0,Alabama,AL,"Gulf Shores, Baldwin County",,False,29.0,M,Lacerations to right wrist and middle finger,N,Unprovoked
2011,2011-10-02,10.0,Florida,FL,"Santa Maria Island, Manatee County",Wade fishing,False,,M,Minor injury to thigh,N,Unprovoked
2011,2011-10-10,10.0,Oregon,OR,Seaside,Surfing,True,,M,No injury,N,Unprovoked
2011,2011-10-11,10.0,Florida,FL,Cape Canaveral,Surfing,True,,M,Foot bitten,N,Unprovoked
2011,2011-10-20,10.0,Oregon,OR,"Newport, Lincoln County",Surfing,True,41.0,M,"No injury, shark bit surfboard",N,Unprovoked
2011,2011-10-29,10.0,California,CA,"Marina State Beach, Monterey County",Surfing,True,27.0,M,"Lacerations to right wrist, foream & neck",N,Unprovoked
2011,2011-11-22,11.0,California,CA,Pigeon Point,Kayaking,False,,M,"No injury, kayak bitten",N,Unprovoked
2011,2011-12-06,12.0,Oregon,OR,Seaside Cove,Surfing,True,,F,Minor injury to calf ,N,Unprovoked
2011,2011-12-21,12.0,Hawaii,HI,"Makahuena Point, Kauai",Canoeing,False,,M,"No injury, after kayak collided with the shark, it bit the rudder  PROVOKED INCIDENT",N,Provoked
2011,2011-12-23,12.0,Florida,FL,New Smyrna Beach,Surfing,True,27.0,M,Laceration to ankle,N,Unprovoked
2011,2011-12-31,12.0,Florida,FL,"Jupiter, Palm Beach County",,False,,M,Hand injured,N,Unprovoked
2012,2012-01-13,1.0,Oregon,OR,"Lincoln City, Lincoln County",Surfing,True,53.0,M,"No injury, surfboard damaged",N,Unprovoked
2012,2012-01-27,1.0,Hawaii,HI,Lanai,Snorkeling,False,,,"No injury, shark bit swim fin",N,Unprovoked
2012,2012-02-26,2.0,Florida,FL,"Palm Beach Inlet, Palm Beach County",Kite Surfing,True,,M,Laceration to right foot when he struck a shark PROVOKED INCIDENT,N,Provoked
2012,2012-03-04,3.0,Florida,FL,"Playalinda Beach, Brevard County",Kite Surfing,True,19.0,M,Lacerations to left calf,N,Unprovoked
2012,2012-03-14,3.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,17.0,M,Bitten on calf,N,Unprovoked
2012,2012-03-14,3.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,15.0,F,Bitten on ankle,N,Unprovoked
2012,2012-03-15,3.0,Florida,FL,"Jensen Beach, Martin County ",Surfing,True,61.0,M,Left forearm bitten,N,Unprovoked
2012,2012-03-24,3.0,Florida,FL,"New Smyrna Beach, Volusia County",Surfing,True,21.0,M,Minor lacerations to foot,N,Unprovoked
2012,2012-04-03,4.0,Hawaii,HI,"Leftovers near Chun's Reef, Oahu",Surfing,True,28.0,M,Lacerations to left foot,N,Unprovoked
2012,2012-04-19,4.0,Florida,FL,"Indialantic, Brevard County",Surfing,True,28.0,M,Lacerations to hand,N,Unprovoked
2012,2012-05-06,5.0,California,CA,Off Catalina Island,Paddle boarding,False,15.0,F,"No injury, shark bit paddleboard",N,Unprovoked
2012,2012-05-09,5.0,Florida,FL,"Vero Beach, Indian River County",Swimming,False,47.0,F,Upper left thigh bitten,N,Unprovoked
2012,2012-05-12,5.0,California,CA,"Leffingwell Landing, Cambria,  San Luis Obispo County",Kayaking / Fishing,False,30.0,M,"No injury, kayaker fell in the water when kayak bitten by a shark",N,Unprovoked
2012,2012-05-20,5.0,Hawaii,HI,"Iroquiois Point, Oahu",Kayak Fishing,False,,M,"No injury, teethmarks in kayak",N,Unprovoked
2012,2012-05-23,5.0,Florida,FL,"Jacksonville, Duval County",Surfing,True,22.0,M,Lacerations to foot,N,Unprovoked
2012,2012-05-31,5.0,North Carolina,NC,"Avon, Hatteras Island, Outer Banks, Dare County",Wading,False,33.0,F,Foot bitten,N,Unprovoked
2012,2012-06-02,6.0,South Carolina,SC,"Myrtle Beach, Horry County",Boogie Boarding,True,25.0,M,Severe laceration to foot,N,Unprovoked
2012,2012-06-02,6.0,Florida,FL,"Bethune Beach, Volusia County",Surfing,True,12.0,F,Laceration to thigh,N,Unprovoked
2012,2012-06-14,6.0,South Carolina,SC,"Myrtle Beach, Horry County",Swimming,False,18.0,F,Foot & hand bitten,N,Unprovoked
2012,2012-06-14,6.0,South Carolina,SC,"Myrtle Beach, Horry County",Swimming,False,,M,Minor injury,N,Unprovoked
2012,2012-06-14,6.0,South Carolina,SC,"Myrtle Beach, Horry County",Swimming,False,16.0,M,Laceration to right foot,N,Unprovoked
2012,2012-06-14,6.0,South Carolina,SC,"Myrtle Beach, Horry County",Swimming,False,,M,Calf bitten,N,Unprovoked
2012,2012-06-15,6.0,Florida,FL,"Summerland Key, Monroe County",Fishing,False,23.0,M,Superficial injury to calf by hooked shark PROVOKED ACCIDENT,N,Provoked
2012,2012-06-18,6.0,North Carolina,NC,"Ocean Isle, Brunswick County",Wading,False,6.0,F,Numerous puncture wounds to leg ,N,Unprovoked
2012,2012-06-19,6.0,South Carolina,SC,"Myrtle Beach, Horry County",Standing,False,16.0,M,"Laceration to foot. Injured by a stingray, not a shark",N,Invalid
2012,2012-06-22,6.0,Florida,FL,"Bathtub Reef  Beach, Stuart, Martin County",Swimming,False,12.0,M,Minor injury,N,Unprovoked
2012,2012-06-26,6.0,Hawaii,HI,"Kahana Beach, Maui",Sitting in the water,False,16.0,F,Laceration to left calf,N,Unprovoked
